,sharpe,max_return,max_loss,final_return,press_mean,press_std
Stock1,6.667194608968675,0.012726905000000954,0.013719966292394137,0.012046902000000914,0.563703212813749,1.0542778834328244
Stock2,,0.0,0.0,0.0,0.036233092011362523,1.1193986816992643
Stock3,,0.0,0.0,0.0,0.30458963091643854,1.1405774655076102
Stock4,,0.0,0.0,0.0,0.19315934646698238,0.8848729969801742
Stock5,,0.0,0.0,0.0,0.19893444887093223,0.7977318644355877
Stock6,,0.0,0.0,0.0,0.0808609641500187,1.16627395849479
Stock7,,0.0,0.0,0.0,0.12945586943410328,0.8140420726365403
Stock8,4.820936457563173,9.632799999992336e-05,0.00012998747856618476,8.263800000007926e-05,0.263115173169723,1.2974902964012396
Stock9,,0.0,0.0,0.0,0.27037866346324324,1.483160167965566
Stock10,-1.530194376871563,0.0,6.611099999997982e-05,-2.221800000001828e-05,-0.10106480861709474,0.8534062079493949
Stock11,2.074707876021928,9.61720000001165e-05,0.00017998269070462758,6.232999999999933e-05,-0.004213323607034875,1.0985451764988654
Stock12,,0.0,0.0,0.0,-0.6189830588280189,0.800973487695294
Stock13,,0.0,0.0,0.0,0.4428511614530651,1.0050498672602637
Stock14,,0.0,0.0,0.0,0.1638206024332916,0.9752925671578794
Stock15,-1.6675316870915389,0.002641603000000492,0.008324345384259857,-0.0021958419999992262,-0.06014429352247042,0.9855622014201671
Stock16,,0.0,0.0,0.0,0.2457504967499273,0.9620720282426756
Stock17,0.7543892245736398,0.00015809400000010854,0.0005599114813542583,0.00010616200000002074,0.13738002131462487,1.1256775738380367
Stock18,,0.0,0.0,0.0,0.13659589889491247,0.5663815130844932
Stock19,-3.36979737732974,0.0021704549999999045,0.004577638441756071,-0.0022751460000002277,0.04337350542678205,1.1856072256668804
Stock20,,0.0,0.0,0.0,-0.003961558464458482,0.8804053892783397
Stock21,,0.0,0.0,0.0,0.6335393926773397,0.8820631527150924
Stock22,,0.0,0.0,0.0,-0.1429775390214395,0.6960104941357672
Stock23,,0.0,0.0,0.0,0.4392287707794516,1.1552737229222958
Stock24,,0.0,0.0,0.0,0.18468196393145678,1.2108917528068412
Stock25,,0.0,0.0,0.0,0.1812920382290123,1.0101297143019605
Stock26,,0.0,0.0,0.0,0.37906084336302426,0.9956559487335108
Stock27,,0.0,0.0,0.0,0.00829592051232247,0.8973666224586244
Stock28,,0.0,0.0,0.0,-0.041774085452862146,0.5498763238645504
Stock29,-1.8774826373369506,0.0008166390000003965,0.001596811981060764,-0.0007814769999998639,0.20838258300129897,2.543933688781661
