,sharpe,max_return,max_loss,final_return,press_mean,press_std,,
Stock1,9.02,0.07,0.07,0.07,0,1.1,2.19,-2.2
Stock29,6.39,0.05,0.05,0.05,0.27,1.48,3.24,-2.7
Stock7,5.29,0.05,0.06,0.04,0.56,1.05,2.67,-1.54
Stock8,5.27,0.05,0.06,0.04,0.19,0.88,1.96,-1.58
Stock15,4.64,0.05,0.05,0.04,-0.1,0.85,1.61,-1.81
Stock4,4.49,0.05,0.06,0.05,0.16,0.98,2.11,-1.79
Stock17,4.44,0.03,0.04,0.03,0.25,0.96,2.17,-1.68
Stock26,3.91,0.05,0.06,0.04,0.44,1.16,2.75,-1.87
Stock16,3.68,0.03,0.03,0.02,0.44,1.01,2.45,-1.57
Stock22,3.66,0.03,0.03,0.03,0.18,1.01,2.2,-1.84
Stock19,3.59,0.03,0.04,0.03,0.63,0.88,2.4,-1.13
Stock6,3.19,0.04,0.04,0.03,0.08,1.17,2.41,-2.25
Stock14,3.02,0.02,0.03,0.02,0.3,1.14,2.59,-1.98
Stock28,2.62,0.01,0.01,0.01,0.14,0.57,1.27,-1
Stock3,2.45,0.04,0.04,0.02,0.14,1.13,2.39,-2.11
Stock2,2.42,0.03,0.03,0.02,-0.62,0.8,0.98,-2.22
Stock12,1.42,0.02,0.02,0.01,0.2,0.8,1.79,-1.4
Stock20,1.39,0.02,0.02,0.01,-0.14,0.7,1.25,-1.53
Stock10,1.36,0.03,0.05,0.01,0.18,1.21,2.61,-2.24
Stock9,1.36,0.02,0.03,0.02,0.01,0.9,1.8,-1.79
Stock5,1.25,0.03,0.03,0.01,0.13,0.81,1.76,-1.5
Stock25,0.86,0.01,0.03,0.01,0,0.88,1.76,-1.76
Stock23,0.4,0.01,0.02,0,-0.04,0.55,1.06,-1.14
Stock11,0.25,0.01,0.05,0,0.26,1.3,2.86,-2.33
Stock21,0.13,0.02,0.04,0,0.38,1,2.37,-1.61
Stock13,-0.63,0.01,0.02,-0.01,0.04,1.12,2.28,-2.2
Stock24,-0.83,0.02,0.03,-0.01,0.21,2.54,5.3,-4.88
Stock18,-5.67,0.01,0.07,-0.06,-0.06,0.99,1.91,-2.03
Stock27,-11.18,0.01,0.09,-0.08,0.04,1.19,2.41,-2.33
